id,type,spread_winner,fetch_date,trump_value,harris_value,spread_value
7386,rcp_average,Trump,2024-02-21,49.3,42.7,6.599999999999994
7386,rcp_average,Trump,2024-02-24,49.3,42.7,6.599999999999994
7386,rcp_average,Trump,2024-03-12,49.3,42.7,6.599999999999994
7386,rcp_average,Trump,2024-04-20,49.3,42.7,6.599999999999994
7386,rcp_average,Trump,2024-05-15,49.3,42.7,6.599999999999994
7386,rcp_average,Trump,2024-06-28,49.3,42.7,6.599999999999994
7386,rcp_average,Trump,2024-06-29,49.3,42.7,6.599999999999994
7386,rcp_average,Trump,2024-06-30,49.3,42.7,6.599999999999994
7386,rcp_average,Trump,2024-07-02,46.0,44.0,2.0
7386,rcp_average,Trump,2024-07-03,46.0,44.0,2.0
7386,rcp_average,Trump,2024-07-04,46.0,44.0,2.0
7386,rcp_average,Trump,2024-07-09,46.0,44.0,2.0
7386,rcp_average,Trump,2024-07-11,47.8,45.2,2.5999999999999943
7386,rcp_average,Trump,2024-07-13,48.0,45.9,2.1000000000000014
7386,rcp_average,Trump,2024-07-14,48.0,45.9,2.1000000000000014
7386,rcp_average,Trump,2024-07-15,48.0,46.0,2.0
7386,rcp_average,Trump,2024-07-16,48.0,46.0,2.0
7386,rcp_average,Trump,2024-07-20,48.2,46.3,1.9000000000000057
7386,rcp_average,Trump,2024-07-21,48.2,46.3,1.9000000000000057
7386,rcp_average,Trump,2024-07-22,48.2,46.2,2.0
7386,rcp_average,Trump,2024-07-23,47.5,45.9,1.6000000000000014
7386,rcp_average,Trump,2024-07-24,47.5,45.9,1.6000000000000014
7386,rcp_average,Trump,2024-07-25,47.9,46.0,1.8999999999999986
7386,rcp_average,Trump,2024-07-26,47.9,46.2,1.6999999999999957
7386,rcp_average,Trump,2024-07-27,47.9,46.2,1.6999999999999957
7386,rcp_average,Trump,2024-07-28,47.9,46.2,1.6999999999999957
7386,rcp_average,Trump,2024-07-29,47.9,46.2,1.6999999999999957
7386,rcp_average,Trump,2024-07-30,47.9,46.2,1.6999999999999957
7386,rcp_average,Trump,2024-07-31,47.9,46.2,1.6999999999999957
